"","year","evangelical","mainline","catholic","blackprot","jewish","otherfaith","nofaith","reltrad","partyid"
"413",1972,1,0,0,0,0,0,0,1,5
"414",1972,1,0,0,0,0,0,0,1,6
"415",1972,0,0,0,0,0,0,1,7,2
"416",1972,0,0,1,0,0,0,0,4,2
"417",1972,0,0,1,0,0,0,0,4,0
"418",1972,0,0,1,0,0,0,0,4,1
"419",1972,0,0,1,0,0,0,0,4,6
"420",1972,0,0,1,0,0,0,0,4,1
"421",1972,1,0,0,0,0,0,0,1,0
"422",1972,0,0,1,0,0,0,0,4,1
"423",1972,0,1,0,0,0,0,0,2,1
"424",1972,0,1,0,0,0,0,0,2,3
"425",1972,0,1,0,0,0,0,0,2,5
"426",1972,0,0,1,0,0,0,0,4,1
"427",1972,0,1,0,0,0,0,0,2,2
"428",1972,0,0,1,0,0,0,0,4,1
"429",1972,0,0,1,0,0,0,0,4,3
"430",1972,0,1,0,0,0,0,0,2,4
"431",1972,0,1,0,0,0,0,0,2,5
"432",1972,0,1,0,0,0,0,0,2,1
"433",1972,0,0,0,0,0,0,1,7,1
"434",1972,0,1,0,0,0,0,0,2,4
"435",1972,0,0,0,0,0,0,1,7,2
"436",1972,0,1,0,0,0,0,0,2,1
"437",1972,0,1,0,0,0,0,0,2,1
"438",1972,1,0,0,0,0,0,0,1,5
"439",1972,0,0,1,0,0,0,0,4,0
"440",1972,0,0,0,0,0,0,0,NaN,1
"441",1972,1,0,0,0,0,0,0,1,1
"442",1972,0,0,0,0,0,0,1,7,3
"443",1972,0,1,0,0,0,0,0,2,3
"444",1972,0,0,1,0,0,0,0,4,1
"445",1972,0,1,0,0,0,0,0,2,1
"446",1972,0,1,0,0,0,0,0,2,0
"447",1972,0,0,0,1,0,0,0,3,0
"448",1972,0,1,0,0,0,0,0,2,2
"449",1972,0,0,0,1,0,0,0,3,0
"450",1972,1,0,0,0,0,0,0,1,1
"451",1972,0,0,0,1,0,0,0,3,0
"452",1972,0,0,0,1,0,0,0,3,2
"453",1972,0,0,0,1,0,0,0,3,0
"454",1972,0,0,0,1,0,0,0,3,0
"455",1972,0,0,0,1,0,0,0,3,0
"456",1972,0,0,1,0,0,0,0,4,0
"457",1972,0,0,1,0,0,0,0,4,0
"458",1972,0,0,1,0,0,0,0,4,0
"459",1972,0,0,1,0,0,0,0,4,1
"460",1972,0,0,1,0,0,0,0,4,NA
